Year,Harvest,ExtremeEvents,Fires
2001,469.52949237644367,5.327473875859406,20.542531607205294
2002,547.1944932160991,8.629122340907049,20.54818004892479
2003,336.77762910664666,6.2204300935507995,16.524001555329658
2004,778.788453775438,22.118810483224543,49.16993770763127
2005,789.9753456647999,90.54631895905459,37.7488475035468
2006,768.8136493674423,21.174255754086804,44.48514726571776
2007,774.0775859936625,54.44926772923949,65.43992036009303
2008,900.7809191805914,30.988024869987633,33.973346323629926
2009,768.8517012433338,37.839771838754785,29.701548638067212
2010,906.0948008151282,119.08443334879989,34.50277222220415
2011,732.9774099839194,53.6679960830389,23.236732343708987
2012,824.8543667645744,22.47232011036992,87.21154714833091
2013,663.467726186262,4.688842886165199,49.62858783430699
2014,846.8118407833678,22.397785610695422,50.99731183519551
2015,732.3615202252793,5.597145006735961,36.8088869244797
2016,1110.1319195870647,36.70983118229309,86.62555964487724
2017,1176.7972360873787,71.5542351658057,221.5622405475884
2018,1130.1194785666476,105.28703096183888,104.402351233214
2019,1221.3260912392197,142.64978449776723,34.67369624011514
