system:index,Threshold,treecover2000,.geo
0,10.0,4.619806319507408E10,
1,15.0,4.257986500507662E10,
2,20.0,4.166691555424991E10,
3,25.0,3.901713008433385E10,
4,30.0,3.50658257940542E10,
5,35.0,3.3657481843682056E10,
6,40.0,3.1810445273941788E10,
7,45.0,3.087706178013632E10,
8,50.0,2.8257084272718063E10,
9,55.0,2.680156086897307E10,
10,60.0,2.531058190380082E10,
11,65.0,2.397327092689183E10,
12,70.0,2.2918397080713104E10,
13,75.0,2.124566699901706E10,
14,80.0,1.7341090114134254E10,
