system:index,Threshold,treecover2000,.geo
0,10.0,1.7780241465871243E9,
1,15.0,1.5274766018613183E9,
2,20.0,1.4810832266310837E9,
3,25.0,1.2888148202391632E9,
4,30.0,9.90790460175292E8,
5,35.0,9.453822605193373E8,
6,40.0,8.924359956372691E8,
7,45.0,8.258487928268384E8,
8,50.0,5.913768676019013E8,
9,55.0,5.0390422241126305E8,
10,60.0,4.5128693282700914E8,
11,65.0,4.230145800965619E8,
12,70.0,3.7558259275192344E8,
13,75.0,2.6619125746516064E8,
14,80.0,1.1072836364597647E8,
