system:index,Threshold,treecover2000,.geo
0,10.0,9.22662932081231E9,
1,15.0,8.720738027663055E9,
2,20.0,8.617531144550026E9,
3,25.0,8.424653127462102E9,
4,30.0,8.153710129095127E9,
5,35.0,8.01992160263362E9,
6,40.0,7.860076550961749E9,
7,45.0,7.702169795235002E9,
8,50.0,7.33776002735506E9,
9,55.0,7.121779577667331E9,
10,60.0,6.749572362884696E9,
11,65.0,6.333563372728282E9,
12,70.0,6.164334529773992E9,
13,75.0,5.705499739452577E9,
14,80.0,4.663077656113057E9,
