system:index,Threshold,treecover2000,.geo
0,10.0,1.3794799568503214E11,
1,15.0,1.2511612167132178E11,
2,20.0,1.2118728660451346E11,
3,25.0,1.1384969993937177E11,
4,30.0,1.0507177645137244E11,
5,35.0,1.0062904883231984E11,
6,40.0,9.582170887141621E10,
7,45.0,9.332025710077672E10,
8,50.0,7.716005249929399E10,
9,55.0,7.347267371004906E10,
10,60.0,6.774429086289235E10,
11,65.0,6.327655063778558E10,
12,70.0,6.028868276419555E10,
13,75.0,5.3613287772137115E10,
14,80.0,4.399216486592184E10,
