system:index,Threshold,treecover2000,.geo
0,10.0,1.0867666028610455E11,
1,15.0,1.0590481131559453E11,
2,20.0,1.049167751193551E11,
3,25.0,1.0358021654342735E11,
4,30.0,1.0167059455945293E11,
5,35.0,1.0044564792660268E11,
6,40.0,9.903737992575542E10,
7,45.0,9.778275328260944E10,
8,50.0,9.304309393882423E10,
9,55.0,9.13262568300486E10,
10,60.0,8.6320285958915E10,
11,65.0,8.155450539408801E10,
12,70.0,7.73873447604493E10,
13,75.0,6.712469493767277E10,
14,80.0,4.894992411479279E10,
