system:index,Threshold,treecover2000,.geo
0,10.0,1.0691121118652935E10,
1,15.0,9.54301254294682E9,
2,20.0,9.083877738519196E9,
3,25.0,8.540440941921995E9,
4,30.0,8.141488519218563E9,
5,35.0,7.78690075629181E9,
6,40.0,7.395456491514103E9,
7,45.0,7.00536173127383E9,
8,50.0,6.306478827461048E9,
9,55.0,5.762510740420408E9,
10,60.0,5.181912853024377E9,
11,65.0,4.425734326828052E9,
12,70.0,4.129259368236469E9,
13,75.0,3.3657782106821833E9,
14,80.0,2.5914466571883736E9,
