system:index,Threshold,treecover2000,.geo
0,10.0,2.069027667193045E11,
1,15.0,2.0204224540115704E11,
2,20.0,2.0146085138154904E11,
3,25.0,1.9990335276348627E11,
4,30.0,1.965315804245487E11,
5,35.0,1.9131711784867154E11,
6,40.0,1.8774650314592096E11,
7,45.0,1.834036304016671E11,
8,50.0,1.6538656139880203E11,
9,55.0,1.5292442062683423E11,
10,60.0,1.4042231928177557E11,
11,65.0,1.2506101932071771E11,
12,70.0,1.1766027454604866E11,
13,75.0,1.0340519686176785E11,
14,80.0,7.796425692582771E10,
