system:index,Threshold,treecover2000,.geo
0,10.0,8.308226479920703E10,
1,15.0,8.1106645159285E10,
2,20.0,8.020769494271037E10,
3,25.0,7.913411563496638E10,
4,30.0,7.740975799457135E10,
5,35.0,7.638674973426886E10,
6,40.0,7.529291438858055E10,
7,45.0,7.418351900285152E10,
8,50.0,7.22838068560147E10,
9,55.0,7.094063019404303E10,
10,60.0,6.908611099524376E10,
11,65.0,6.728136037905245E10,
12,70.0,6.6129809814151405E10,
13,75.0,6.309243543170565E10,
14,80.0,5.673345270122653E10,
