system:index,Threshold,treecover2000,.geo
0,10.0,1.7769563290040363E11,
1,15.0,1.7231684436528323E11,
2,20.0,1.705477314607977E11,
3,25.0,1.6736574966025815E11,
4,30.0,1.6242187373460202E11,
5,35.0,1.5991324262596848E11,
6,40.0,1.5710158066101538E11,
7,45.0,1.5469419056217407E11,
8,50.0,1.4806790817806458E11,
9,55.0,1.4430792262062225E11,
10,60.0,1.3804418986447476E11,
11,65.0,1.3206809243962059E11,
12,70.0,1.2849321240448186E11,
13,75.0,1.169384711860759E11,
14,80.0,9.800465253183337E10,
