system:index,Threshold,treecover2000,.geo
0,10.0,1.0258096659153177E9,
1,15.0,1.007080266693711E9,
2,20.0,1.0010057790324429E9,
3,25.0,9.922473873920497E8,
4,30.0,9.803646924790254E8,
5,35.0,9.729973078818302E8,
6,40.0,9.662192060448259E8,
7,45.0,9.565851730252249E8,
8,50.0,9.377460812576164E8,
9,55.0,9.245187363495125E8,
10,60.0,8.978718355154458E8,
11,65.0,8.662814531878228E8,
12,70.0,8.527249137058786E8,
13,75.0,8.150487283898771E8,
14,80.0,7.30478128196361E8,
