system:index,Threshold,treecover2000,.geo
0,10.0,2.5388852809802143E10,
1,15.0,2.483662114068863E10,
2,20.0,2.4650412229149452E10,
3,25.0,2.4403715361203136E10,
4,30.0,2.4072394118920013E10,
5,35.0,2.3833181887514652E10,
6,40.0,2.3552389210952904E10,
7,45.0,2.3338232601183643E10,
8,50.0,2.2468317704234074E10,
9,55.0,2.2111037730984306E10,
10,60.0,2.1449715464785347E10,
11,65.0,2.06393311031286E10,
12,70.0,1.9913857855477943E10,
13,75.0,1.826769463700696E10,
14,80.0,1.5692223270678991E10,
