system:index,Threshold,treecover2000,.geo
0,10.0,2.1834504007574352E10,
1,15.0,2.1060687950781406E10,
2,20.0,2.075439890694938E10,
3,25.0,2.025535423574185E10,
4,30.0,1.9563710855824783E10,
5,35.0,1.9196122330025517E10,
6,40.0,1.8806190323029293E10,
7,45.0,1.8450992395099735E10,
8,50.0,1.7749017232488194E10,
9,55.0,1.7293625565533577E10,
10,60.0,1.6561204711583836E10,
11,65.0,1.5892374608345684E10,
12,70.0,1.5492163476627415E10,
13,75.0,1.4508445075100063E10,
14,80.0,1.2860470492877745E10,
