Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GF","Forest Land","82","Gibraltar","5110","Area","6661","Forest","2015","2015","1000 ha","0","F","FAO estimate"
"GF","Forest Land","84","Greece","5110","Area","6661","Forest","2010","2010","1000 ha","3903","F","FAO estimate"
"GF","Forest Land","84","Greece","5110","Area","6661","Forest","2015","2015","1000 ha","4054","F","FAO estimate"
"GF","Forest Land","97","Hungary","5110","Area","6661","Forest","2010","2010","1000 ha","2046","","Official data"
"GF","Forest Land","97","Hungary","5110","Area","6661","Forest","2015","2015","1000 ha","2069","","Official data"
"GF","Forest Land","99","Iceland","5110","Area","6661","Forest","2010","2010","1000 ha","42.7","","Official data"
"GF","Forest Land","99","Iceland","5110","Area","6661","Forest","2015","2015","1000 ha","49.2","","Official data"
"GF","Forest Land","104","Ireland","5110","Area","6661","Forest","2010","2010","1000 ha","725.63","","Official data"
"GF","Forest Land","104","Ireland","5110","Area","6661","Forest","2015","2015","1000 ha","754.02","","Official data"
"GF","Forest Land","264","Isle of Man","5110","Area","6661","Forest","2010","2010","1000 ha","3.46","F","FAO estimate"
"GF","Forest Land","264","Isle of Man","5110","Area","6661","Forest","2015","2015","1000 ha","3.46","F","FAO estimate"
"GF","Forest Land","106","Italy","5110","Area","6661","Forest","2010","2010","1000 ha","9028","","Official data"
"GF","Forest Land","106","Italy","5110","Area","6661","Forest","2015","2015","1000 ha","9297","","Official data"
"GF","Forest Land","119","Latvia","5110","Area","6661","Forest","2010","2010","1000 ha","3354","","Official data"
"GF","Forest Land","119","Latvia","5110","Area","6661","Forest","2015","2015","1000 ha","3356","","Official data"
"GF","Forest Land","125","Liechtenstein","5110","Area","6661","Forest","2010","2010","1000 ha","6.9","F","FAO estimate"
"GF","Forest Land","125","Liechtenstein","5110","Area","6661","Forest","2015","2015","1000 ha","6.9","F","FAO estimate"
"GF","Forest Land","126","Lithuania","5110","Area","6661","Forest","2010","2010","1000 ha","2170","","Official data"
"GF","Forest Land","126","Lithuania","5110","Area","6661","Forest","2015","2015","1000 ha","2180","","Official data"
"GF","Forest Land","256","Luxembourg","5110","Area","6661","Forest","2010","2010","1000 ha","86.7","F","FAO estimate"
"GF","Forest Land","256","Luxembourg","5110","Area","6661","Forest","2015","2015","1000 ha","86.7","F","FAO estimate"
"GF","Forest Land","134","Malta","5110","Area","6661","Forest","2010","2010","1000 ha","0.35","F","FAO estimate"
"GF","Forest Land","134","Malta","5110","Area","6661","Forest","2015","2015","1000 ha","0.35","F","FAO estimate"
"GF","Forest Land","273","Montenegro","5110","Area","6661","Forest","2010","2010","1000 ha","827","","Official data"
"GF","Forest Land","273","Montenegro","5110","Area","6661","Forest","2015","2015","1000 ha","827","","Official data"
"GF","Forest Land","150","Netherlands","5110","Area","6661","Forest","2010","2010","1000 ha","373","","Official data"
"GF","Forest Land","150","Netherlands","5110","Area","6661","Forest","2015","2015","1000 ha","376","","Official data"
"GF","Forest Land","162","Norway","5110","Area","6661","Forest","2010","2010","1000 ha","12102","","Official data"
"GF","Forest Land","162","Norway","5110","Area","6661","Forest","2015","2015","1000 ha","12112","","Official data"
"GF","Forest Land","173","Poland","5110","Area","6661","Forest","2010","2010","1000 ha","9329","","Official data"
"GF","Forest Land","173","Poland","5110","Area","6661","Forest","2015","2015","1000 ha","9435","","Official data"
"GF","Forest Land","174","Portugal","5110","Area","6661","Forest","2010","2010","1000 ha","3239","","Official data"
"GF","Forest Land","174","Portugal","5110","Area","6661","Forest","2015","2015","1000 ha","3182","","Official data"
"GF","Forest Land","146","Republic of Moldova","5110","Area","6661","Forest","2010","2010","1000 ha","386","F","FAO estimate"
"GF","Forest Land","146","Republic of Moldova","5110","Area","6661","Forest","2015","2015","1000 ha","409","F","FAO estimate"
"GF","Forest Land","183","Romania","5110","Area","6661","Forest","2010","2010","1000 ha","6515","","Official data"
"GF","Forest Land","183","Romania","5110","Area","6661","Forest","2015","2015","1000 ha","6861","","Official data"
"GF","Forest Land","185","Russian Federation","5110","Area","6661","Forest","2010","2010","1000 ha","815135.6","","Official data"
"GF","Forest Land","185","Russian Federation","5110","Area","6661","Forest","2015","2015","1000 ha","814930.5","","Official data"
"GF","Forest Land","192","San Marino","5110","Area","6661","Forest","2010","2010","1000 ha","0","F","FAO estimate"
"GF","Forest Land","192","San Marino","5110","Area","6661","Forest","2015","2015","1000 ha","0","F","FAO estimate"
"GF","Forest Land","272","Serbia","5110","Area","6661","Forest","2010","2010","1000 ha","2713","","Official data"
"GF","Forest Land","272","Serbia","5110","Area","6661","Forest","2015","2015","1000 ha","2720","","Official data"
"GF","Forest Land","199","Slovakia","5110","Area","6661","Forest","2010","2010","1000 ha","1939","","Official data"
"GF","Forest Land","199","Slovakia","5110","Area","6661","Forest","2015","2015","1000 ha","1940","","Official data"
"GF","Forest Land","198","Slovenia","5110","Area","6661","Forest","2010","2010","1000 ha","1247","","Official data"
"GF","Forest Land","198","Slovenia","5110","Area","6661","Forest","2015","2015","1000 ha","1248","","Official data"
"GF","Forest Land","203","Spain","5110","Area","6661","Forest","2010","2010","1000 ha","18247.2","","Official data"
"GF","Forest Land","203","Spain","5110","Area","6661","Forest","2015","2015","1000 ha","18417.87","","Official data"
"GF","Forest Land","210","Sweden","5110","Area","6661","Forest","2010","2010","1000 ha","28073","","Official data"
"GF","Forest Land","210","Sweden","5110","Area","6661","Forest","2015","2015","1000 ha","28073","","Official data"
"GF","Forest Land","211","Switzerland","5110","Area","6661","Forest","2010","2010","1000 ha","1235","","Official data"
"GF","Forest Land","211","Switzerland","5110","Area","6661","Forest","2015","2015","1000 ha","1254","","Official data"
"GF","Forest Land","154","The former Yugoslav Republic of Macedonia","5110","Area","6661","Forest","2010","2010","1000 ha","998","F","FAO estimate"
"GF","Forest Land","154","The former Yugoslav Republic of Macedonia","5110","Area","6661","Forest","2015","2015","1000 ha","998","F","FAO estimate"
"GF","Forest Land","230","Ukraine","5110","Area","6661","Forest","2010","2010","1000 ha","9548","","Official data"
"GF","Forest Land","230","Ukraine","5110","Area","6661","Forest","2015","2015","1000 ha","9657","","Official data"
"GF","Forest Land","229","United Kingdom","5110","Area","6661","Forest","2010","2010","1000 ha","3059","","Official data"
"GF","Forest Land","229","United Kingdom","5110","Area","6661","Forest","2015","2015","1000 ha","3144","","Official data"
