system:index,b1,year,.geo
0,1.5928005437457705E7,2011.0,
1,1.2645502463165538E7,2012.0,
2,8304677.631431838,2013.0,
3,1.1861882398653356E7,2014.0,
4,6507233.663602687,2015.0,
5,1.3587133496386798E7,2016.0,
6,1.7209392515817203E7,2017.0,
7,2.4317983865641244E7,2018.0,
8,6.069748974105267E7,2019.0,
