system:index,b1,year,.geo
0,7809134.15209613,2011.0,
1,6753633.720307657,2012.0,
2,5350574.251965441,2013.0,
3,6533214.403240128,2014.0,
4,5982240.205614017,2015.0,
5,9628594.633340418,2016.0,
6,1.0198162393382877E7,2017.0,
7,7721360.884021997,2018.0,
8,9964905.333016396,2019.0,
