system:index,b1,year,.geo
0,3284695.7855855287,2011.0,
1,2965107.359662797,2012.0,
2,1812598.122862694,2013.0,
3,6478583.072816065,2014.0,
4,1943151.8891295097,2015.0,
5,6765049.9445323525,2016.0,
6,5683507.532400438,2017.0,
7,7590344.378829865,2018.0,
8,4709030.532053068,2019.0,
