system:index,b1,year,.geo
0,3720769.7061350006,2011.0,
1,8029631.0162197575,2012.0,
2,8239745.682290422,2013.0,
3,9800148.893531268,2014.0,
4,7150746.018003229,2015.0,
5,8550392.249449562,2016.0,
6,7419560.060874891,2017.0,
7,8181817.185567011,2018.0,
8,9827274.344704235,2019.0,
