system:index,b1,year,.geo
0,5.906879591382084E7,2011.0,
1,7.067673743721537E7,2012.0,
2,5.882107796328279E7,2013.0,
3,8.162592269605516E7,2014.0,
4,6.836233676003022E7,2015.0,
5,1.0168749794048911E8,2016.0,
6,1.1231692570964828E8,2017.0,
7,9.586668929912636E7,2018.0,
8,1.1751432313564292E8,2019.0,
