system:index,b1,year,.geo
0,862410.1916335919,2011.0,
1,2650929.9329318553,2012.0,
2,1045390.7873340561,2013.0,
3,2199538.5285842037,2014.0,
4,2504018.075069446,2015.0,
5,2521779.51815392,2016.0,
6,2384450.6785475425,2017.0,
7,3275298.9723737156,2018.0,
8,1435292.2074774923,2019.0,
