system:index,b1,year,.geo
0,423235.68419695087,2011.0,
1,398723.07729394577,2012.0,
2,201176.52227614442,2013.0,
3,374582.9974769966,2014.0,
4,378933.43508269463,2015.0,
5,563234.4068893301,2016.0,
6,509895.98538448295,2017.0,
7,471616.56930853904,2018.0,
8,1026711.0169030406,2019.0,
