system:index,b1,year,.geo
0,2.2028804982203573E7,2011.0,
1,2.350402429149023E7,2012.0,
2,1.4576255824430542E7,2013.0,
3,2.501152253078667E7,2014.0,
4,1.77687969194764E7,2015.0,
5,3.5263416988737285E7,2016.0,
6,3.919452858383644E7,2017.0,
7,2.986793823985137E7,2018.0,
8,3.475080500059185E7,2019.0,
