system:index,b1,year,.geo
0,870610.5206078389,2011.0,
1,2693476.1766762286,2012.0,
2,1074248.6866587116,2013.0,
3,2227834.7276837444,2014.0,
4,2512418.0170090385,2015.0,
5,2546006.7165768286,2016.0,
6,2474846.2191390204,2017.0,
7,3302905.950278989,2018.0,
8,1445322.195415181,2019.0,
