system:index,b1,year,.geo
0,2874139.4433365776,2011.0,
1,5535855.808063094,2012.0,
2,3789199.8015612448,2013.0,
3,6123427.319584432,2014.0,
4,3931843.737903788,2015.0,
5,6517627.592143504,2016.0,
6,7427394.102596018,2017.0,
7,9835196.771835744,2018.0,
8,1.1276933458499229E7,2019.0,
