system:index,b1,year,.geo
0,9251745.147893127,2011.0,
1,6333611.540928066,2012.0,
2,3504150.4519869857,2013.0,
3,6781804.8765888885,2014.0,
4,3716401.781023596,2015.0,
5,9870006.637035869,2016.0,
6,1.084741896229961E7,2017.0,
7,1.5560242051571656E7,2018.0,
8,3.421908955771034E7,2019.0,
