system:index,Forest Loss Total,year,.geo
0,3.713865947015381E7,2001.0,
1,4.492830213647126E7,2002.0,
2,2.376575391901592E7,2003.0,
3,1.8864848205316207E8,2004.0,
4,1.7156272560370737E8,2005.0,
5,1.923230663105146E8,2006.0,
6,6.214379457334006E8,2007.0,
7,3.297017582347223E8,2008.0,
8,1.293458702353865E8,2009.0,
9,4.417666148944688E8,2010.0,
10,1.5818322603890118E8,2011.0,
11,1.2003431393919344E8,2012.0,
12,6.905547991317475E7,2013.0,
13,8.342318433261384E7,2014.0,
14,6.038102988244629E7,2015.0,
15,1.2242847030517483E8,2016.0,
16,1.5496322608055875E8,2017.0,
17,3.233176281103087E8,2018.0,
