system:index,Forest Loss Total,year,.geo
0,3.0238679916895732E7,2001.0,
1,3.2266605421323527E7,2002.0,
2,3.075876288776544E7,2003.0,
3,3.84286129890333E7,2004.0,
4,2.458289326070138E8,2005.0,
5,7.105875111043748E7,2006.0,
6,8.287623279436323E7,2007.0,
7,1.207373373676887E8,2008.0,
8,1.0335379337350357E8,2009.0,
9,1.5815780437804314E8,2010.0,
10,1.0556570880626677E8,2011.0,
11,8.229651797390951E7,2012.0,
12,4.2792582756493665E7,2013.0,
13,1.5830329241315106E8,2014.0,
14,4.641686352534444E7,2015.0,
15,1.5661260436573964E8,2016.0,
16,1.2986144690606976E8,2017.0,
17,1.6663099238076624E8,2018.0,
